community,,14365,,3395,,305,,1640,,1955,,535,,894,,1095,,174,,598,,728,,124,Province / Territory,Population
Good Hope Lake,pre-2000-single,25,2001-2015-single,0,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,BC,39
Grey River,pre-2000-single,0,2001-2015-single,40,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,NL,95
Grise Fiord,pre-2000-single,35,2001-2015-single,5,post-2016-single,10,pre-2000-semi,5,2001-2015-semi,10,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,3,post-2016-row-mid,3,pre-2000-row-end,0,2001-2015-row-end,2,post-2016-row-end,2,NU,144
Grosse-Île,pre-2000-single,180,2001-2015-single,30,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,QC,464
Gull Bay,pre-2000-single,0,2001-2015-single,50,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,ON,393
Gwawaenuk,pre-2000-single,4,2001-2015-single,0,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,BC,16
Hall Beach,pre-2000-single,95,2001-2015-single,0,post-2016-single,5,pre-2000-semi,10,2001-2015-semi,15,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,42,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,28,post-2016-row-end,0,NU,891
Hesquiaht,pre-2000-single,15,2001-2015-single,5,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,0,post-2016-semi,0,pre-2000-row-mid,0,2001-2015-row-mid,3,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,2,post-2016-row-end,0,BC,44
Hopedale,pre-2000-single,110,2001-2015-single,35,post-2016-single,0,pre-2000-semi,0,2001-2015-semi,5,post-2016-semi,5,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,NL,596
Igloolik,pre-2000-single,190,2001-2015-single,0,post-2016-single,10,pre-2000-semi,0,2001-2015-semi,45,post-2016-semi,0,pre-2000-row-mid,12,2001-2015-row-mid,78,post-2016-row-mid,0,pre-2000-row-end,8,2001-2015-row-end,52,post-2016-row-end,0,NU,2049
Inukjuak,pre-2000-single,125,2001-2015-single,25,post-2016-single,0,pre-2000-semi,85,2001-2015-semi,140,post-2016-semi,30,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,QC,1821
Iqaluit,pre-2000-single,585,2001-2015-single,105,post-2016-single,0,pre-2000-semi,130,2001-2015-semi,65,post-2016-semi,15,pre-2000-row-mid,252,2001-2015-row-mid,141,post-2016-row-mid,0,pre-2000-row-end,168,2001-2015-row-end,94,post-2016-row-end,0,NU,7429
Ivujivik,pre-2000-single,40,2001-2015-single,0,post-2016-single,0,pre-2000-semi,10,2001-2015-semi,40,post-2016-semi,15,pre-2000-row-mid,0,2001-2015-row-mid,0,post-2016-row-mid,0,pre-2000-row-end,0,2001-2015-row-end,0,post-2016-row-end,0,QC,412
