HALL BEACH,220
HAT ISLAND,221
HAVRE ST-PIERRE,302
HAY RIVER,181
HERBERT ISLAND,63
HERSCHEL ISLAND,396
HIGH LEVEL,22
HOLMAN,182
HOWE SOUND - PAM ROCKS,64
HUDSON BAY,359
ÎLE AUX PERROQUETS,303
ÎLE ROUGE,304
ÎLES DE LA MADELEINE,305
INDIAN HEAD,360
INNER WHALEBACKS,183
INUKJUAK,306
INUVIK,184
IQALUIT,222
ISACHSEN,223
ISLAND LAKE,118
IVVAVIK NAT. PARK,397
JASPER WARDEN,23
JONQUIÈRE,307
KAMLOOPS,65
KAPUSKASING,249
KEATS POINT,185
KEJIMKUJIK,167
KELOWNA,66
KENORA,250
KEY LAKE,361
KILLARNEY,251
KINDAKUN ROCKS,67
KINDERSLEY,362
KUGAARUK CLIMATE,224
KUGLUKTUK,225
KUUJJUAQ,308
KUUJJUARAPIK,309
LA BAIE,310
LA POCATIÈRE,311
LA RONGE,363
LA SCIE,155
LA TUQUE,312
LAC BENOIT,313
LAC EON,314
LAC LA BICHE CLIMATE,24
LAC LA MARTRE,186
L'ACADIE,315
LACOMBE,25
LAGOON CITY,252
LANSDOWNE HOUSE,253
L'ASSOMPTION,316
LAST MOUNTAIN,364
LEADER AIRPORT,365
LENNOXVILLE,317
L'ÉTAPE,318
LETHBRIDGE,26
LILLOOET,68
LINDBURG LANDING,187
LITTLE CHICAGO,188
LIVERPOOL BAY,189
LLOYDMINSTER,27
LONDON,254
LONGSTAFF BLUFF,226
LONGUE-POINTE-DE-MINGAN,319
LOURDES DE BLANC SABLON,320
LOWER CARP LAKE,190
LUCKY LAKE,366
LUPIN,227
LUTSELK'E,191
LYNN LAKE,119
LYTTON,69
MACKENZIE,70
MACMILLAN PASS,398
MALAHAT,71
MANIWAKI AIRPORT,321
MANOUANE,322
MAPLE CREEK,367
MARY'S HARBOUR,156
MATAGAMI,323
MAYO,399
MCCREARY,120
MCTAVISH,324
MEDICINE HAT,28
MELFORT,368
MELITA,121
MILDRED LAKE,29
MILK RIVER,30
MISCOU ISLAND,140
MONCTON INTL,141
MONT JOLI,325
MONTRÉAL INTL,326
MONTRÉAL MIRABEL  INTL,327
MONTRÉAL-ST-HUBERT,328
MOOSE JAW,369
MOOSONEE,255
MOULD BAY,192
MOUNT FOREST,256
MUSKOKA,257
NAGAGAMI,258
NAKUSP,72
NATASHQUAN,329
NELSON,73
NEW CARLISLE,330
NICOLET,331
NIPAWIN,370
NORMAN WELLS,193
NORMANDIN,332
NORTH BATTLEFORD,371
NORTH BAY,259
NORTH CAPE,282
NORWAY HOUSE,122
OAKPOINT MARINE,123
OLD CROW,400
ONEFOUR,31
OSOYOOS,74
OTTAWA INTL,260
OUTLOOK,372
PANGNIRTUNG,228
PAULATUK,194
PEACE RIVER,32
PEAWANUCK,261
PELLY ISLAND,195
PEMBERTON AIRPORT,75
PENTICTON,76
PETERBOROUGH,262
PICKLE LAKE,263
PILOT MOUND,124
PINAWA,125
PINCHER CREEK,33
PITT MEADOWS,77
POINT ATKINSON,78
POINT LEPREAU,142
POINT PETRE,264
POINTE CLAVEAU,333
POINTE DE L'ISLET,334
POINTE NOIRE,335
POINTE-AU-PÈRE,336
POINTE-DES-MONTS,337
POND INLET,229
PORT HARDY,79
PORT WELLER,265
PORTAGE SOUTHPORT,126
PRINCE ALBERT,373
PRINCE GEORGE,80
PRINCE RUPERT,81
PRINCETON,82
PUKASKWA,266
PUNTZI MOUNTAIN,83
QIKIQTARJUAQ CLIMATE,230
QUÉBEC INTL,338
QUESNEL,84
RABBIT KETTLE,196
RANKIN INLET,231
REA POINT,232
RED DEER REGIONAL,34
REGINA INTL,374
RESOLUTE BAY,233
RESOLUTION ISLAND,234
REVELSTOKE,85
RIVIERE-DU-LOUP,339
ROBERVAL,340
ROBLIN,127
ROCKGLEN,375
ROCKY MTN HOUSE,35
ROSE SPIT,86
ROSETOWN EAST,376
ROUYN,341
ROUYN-NORANDA,342
ROWLEY ISLAND,235
SABLE ISLAND,168
SACHS HARBOUR CLIMATE,197
SAINT JOHN,143
SALMON ARM,87
SANDSPIT,88
SARTINE ISLAND,89
SASKATOON INTL,377
SAULT STE MARIE,267
SCHEFFERVILLE,343
SCOTT,378
SEPT-ÎLES,344
SHEARWATER,169
SHEPHERD BAY,236
SHERINGHAM POINT,90
SHOAL LAKE,128
SIOUX LOOKOUT,268
SISTERS ISLAND,91
SLAVE LAKE,36
SMITHERS,92
SOUTHEND,379
SPIRITWOOD WEST,380
SPRAGUE,129
SQUAMISH AIRPORT,93
ST-ANICET,345
STAVELY,37
STE-ANNE-DE-BELLEVUE,346
STE-CLOTHILDE,347
STE-FOY,348
STEPHENVILLE,159
ST-JOHN'S INTL,158
ST-JOVITE,349
ST-LAWRENCE,157
STONY RAPIDS,381
STORM HILLS,198
ST-STEPHEN,144
SUDBURY,269
SUMMERLAND,94
SUMMERSIDE,283
SUNDRE,38
SWAN RIVER,130
SWIFT CURRENT,382
SWIFT CURRENT CDA,383
SYDNEY,170
TADOULE LAKE,131
TALOYOAK,237
TERRACE,95
TESLIN,401
THE PAS,132
THOMPSON,133
THREE HILLS,39
THUNDER BAY,270
TIMMINS,271
TORONTO BUTTONVILLE,272
TORONTO CITY CENTRE,273
TORONTO INTL,274
TRAIL VALLEY,199
TRENTON,275
TUKTOYAKTUK,200
TWILLINGATE,160
UPSALA,276
URANIUM CITY,384
VAL MARIE SOUTHEAST,385
VAL-D'OR,350
VANCOUVER INTL,96
VAUXHALL,40
VEGREVILLE,41
VERNON,97
VICTORIA BEACH,134
VICTORIA GONZALES,98
VICTORIA INTL,99
VICTORIA UNIVERSITY,100
WABUSH,161
WAINWRIGHT,42
WASAGAMING,135
WASKESIU LAKE,386
WATERTON PARK GATE,43
WATROUS EAST,387
WATSON LAKE,402
WAWA,277
WEST VANCOUVER,101
WESTERN HEAD,171
WEYBURN,388
WHISTLER - NESTERS,102
WHITE ROCK,103
WHITEHORSE,403
WIARTON,278
WILLIAMS LAKE,104
WINDSOR,279
WINNIPEG INTL,136
WRECKHOUSE,162
WYNYARD,389
YARMOUTH,172
YELLOWKNIFE,201
YOHIN,202
YOHO PARK,105
YORKTON,390
